rfam_acc,n_seq,maxlength,n_pdb_seqs,total_seqs
RF00001,70460,345,733,71193
RF00002,11746,289,138,11884
RF00004,10251,342,10,10261
RF00005,436080,293,869,436949
RF00008,2383,132,9,2392
RF00009,1217,1029,4,1221
RF00010,6473,812,3,6476
RF00011,787,436,4,791
RF00013,3502,254,1,3503
RF00015,5016,310,6,5022
RF00017,3733,806,10,3743
RF00020,4459,188,17,4476
RF00023,6656,784,7,6663
RF00026,23130,431,20,23150
RF00028,2051,892,5,2056
RF00029,8804,341,1,8805
RF00032,16724,88,9,16733
RF00037,1607,56,2,1609
RF00050,3746,347,6,3752
RF00059,9846,255,24,9870
RF00061,80,261,1,81
RF00080,788,241,4,792
RF00100,7822,636,6,7828
RF00162,4049,375,27,4076
RF00164,63,43,1,64
RF00167,1765,156,48,1813
RF00168,1889,334,16,1905
RF00169,6295,121,11,6306
RF00174,9480,476,2,9482
RF00177,25969,3531,498,26467
RF00233,49,87,2,51
RF00234,930,380,37,967
RF00250,63,60,1,64
RF00379,2637,324,7,2644
RF00380,921,282,3,924
RF00442,770,226,1,771
RF00458,16,215,7,23
RF00488,40,824,3,43
RF00504,3582,249,18,3600
RF00505,21,65,1,22
RF01051,3217,270,17,3234
RF01510,5,63,16,21
RF01689,344,215,4,348
RF01725,767,158,2,769
RF01734,1748,159,5,1753
RF01739,761,273,4,765
RF01750,1513,203,6,1519
RF01763,640,82,13,653
RF01786,496,122,2,498
RF01807,12,218,1,13
RF01826,14,93,1,15
RF01831,614,249,10,624
RF01846,616,537,2,618
RF01852,4469,112,16,4485
RF01854,1707,302,3,1710
RF01857,442,343,1,443
RF01960,27108,5325,140,27248
RF02001,2268,340,26,2294
RF02012,838,191,3,841
RF02253,677,63,1,678
RF02348,77,105,2,79
RF02519,6,33,1,7
RF02540,34679,9019,67,34746
RF02541,35613,8885,689,36302
RF02543,38161,11046,147,38308
RF02545,16,628,3,19
RF02546,18,572,1,19
RF02553,116,188,1,117
RF02680,34,103,1,35
RF02683,229,187,1,230
RF02796,13,70,6,19
