,RF00005,RF01960,RF02541,RF01852,RF02796,RF00017,RF00167,RF01854,RF02543,RF00002,RF00168,RF00020,RF00001,RF00026,RF00004,RF00037,RF01750,RF00177,RF00023,RF02540,RF00458,RF01846,RF01734,RF00059,RF01051,RF00011,RF02545,RF00162,RF00100,RF01831,RF00505,RF01725,RF02546,RF00164,RF01786,RF00015,RF01510,RF00032,RF00010,RF00029,RF02680,RF00009,RF00050,RF02553,RF01357,RF01807,RF00379,RF01689,RF00233,RF00390,RF01763,RF00169,RF00008,RF00442,RF00061,RF02012,RF02683,RF02519,RF00382,RF01739,RF00504,RF00488,RF01857,RF00250,RF00080,RF00028,RF02001,RF01998,RF02348,RF00234,RF00013,RF01826,RF02253,RF00174,RF00380
0,6cfj_1_1x_1-74,6fyy_1_2_1-1798,6prv_1_A_1-58,3rg5_1_B_1-86,3hjw_1_D_1-57,1l9a_1_B_3-126,4fen_1_B_1-67,4wfl_1_A_3-105,3j7q_1_5_3-3722,3j7q_1_5_2-154,3dil_1_A_4-173,5zwm_1_B_55-178,6uz7_1_7_1-121,6qdv_1_2_1-107,6qdv_1_2_1-188,3snp_1_D_1-30,4xwf_1_A_1-64,6gaz_1_AA_5-962,1p6v_1_B_1-68,4v9f_1_0_1-2910,6d9j_1_4_1-187,5wlc_1_L1_1-333,4enc_1_A_2-52,3d2v_1_A_3-77,3mxh_1_R_3-90,1nbs_1_B_1-154,6hiw_1_CA_4-621,4aob_1_A_1-93,5lys_1_B_1-57,3sux_1_X_2-100,4v2s_1_Q_1-65,4oqu_1_A_1-90,6hix_1_AA_609-1168,1xjr_1_A_4-46,3q3z_1_V_1-74,5gan_1_V_1-160,3skl_1_B_2-65,4qoz_1_A_1-26,1u9s_1_A_1-161,1kxk_1_A_18-70,4rzd_1_A_1-101,6agb_1_A_6-363,3f2x_1_X_1-112,6cu1_1_A_2-81,4c9d_1_D_29-1,4p8z_1_A_3-186,4w90_1_C_4-116,4frg_1_B_1-84,6mj0_1_B_24-104,6mj0_1_B_1-23,5nwq_1_A_1-41,5gah_1_1_9-105,2quw_1_B_1-48,5t83_1_A_2-95,5flx_1_z_65-323,6chr_1_A_42-199,4rum_1_A_4-89,4ato_1_G_1-34,4lfb_1_A_20-55,5ddp_1_A_1-61,3oxe_1_A_1-88,6n7r_1_R_1-568,3ndb_1_M_1-136,6gml_1_P_1-45,6cb3_1_B_2-86,1x8w_1_C_1-237,3igi_1_A_84-256,3igi_1_A_254-323,6mcb_1_B_38-116,2z75_1_B_1-125,5vt0_1_R_12-133,6fz0_1_A_1-52,3sn2_1_B_1-29,4gma_1_Z_11-188,3pdr_1_X_2-159
1,6cfj_1_2x_1-74,6fyx_1_2_1-1798,6prv_1_B_1-58,3rg5_1_A_1-86,3lwv_1_D_1-57,1mfq_1_A_3-126,4feo_1_B_1-67,4wfm_1_A_3-101,3j7q_1_8_3-3722,3j7q_1_8_2-154,3dix_1_A_4-173,5zwo_1_B_55-178,4v91_1_3_1-121,6qdv_1_6_1-107,6qdv_1_6_1-188,3snp_1_C_1-30,4xw7_1_A_1-64,6gaw_1_AA_5-962,1p6v_1_D_1-68,1s72_1_0_1-2922,4xej_1_BIRE_4-193,5wlc_1_L0_1-333,4enb_1_A_2-52,3d2x_1_A_3-77,3mum_1_R_3-90,1nbs_1_A_1-154,6hiy_1_CA_4-621,4aeb_1_A_1-93,5lyv_1_B_1-57,3suh_1_X_2-100,,4l81_1_A_1-92,,,3q3z_1_A_1-74,5gan_1_W_1-160,3skt_1_A_2-65,4l8r_1_A_1-26,3q1q_1_B_1-347,6chr_1_A_548-621,,6ah3_1_A_6-363,3f30_1_X_1-112,,4c9d_1_C_29-1,,4w92_1_C_4-116,4frg_1_X_1-84,6mj0_1_A_24-104,6mj0_1_A_1-23,5ny8_1_A_1-41,5gad_1_1_9-105,2quw_1_D_1-48,,5a2q_1_3_26-240,6cih_1_A_42-199,,,5wnv_1_A_20-55,5ddp_1_B_1-61,3oxb_1_A_1-88,6n7p_1_R_1-568,4xco_1_M_1-136,,6cb3_1_A_2-86,2r8s_1_R_1-237,5j02_1_A_83-255,5j02_1_A_253-322,5vzl_1_B_38-116,2gcv_1_B_1-125,,,,4gxy_1_A_5-168,3pdr_1_A_2-159
2,5imq_1_4_1-74,6uz7_1_2_1-1799,6prv_1_C_1-58,4zdo_1_E_1-86,3lwr_1_D_1-57,4p3e_1_A_1-124,4fel_1_B_1-67,4wfm_1_B_3-101,3j7o_1_5_3-3664,3j7o_1_5_2-154,3dir_1_A_4-173,3jcm_1_F_55-178,4ioa_1_Y_5-121,6icz_1_H_1-107,6icz_1_H_1-188,2ipy_1_C_1-30,4znp_1_A_1-73,5aj3_1_A_5-962,2czj_1_H_1-63,1jj2_1_0_1-2922,4xej_1_AIRE_4-193,5wlc_1_L2_1-333,3vrs_1_A_2-52,3d2v_1_B_3-77,3ucz_1_R_3-90,3dhs_1_A_8-255,6hiz_1_CA_4-611,2ygh_1_A_1-93,5lys_1_A_1-57,3suy_1_X_2-100,,,,,,3jcm_1_E_1-160,3skt_1_B_2-65,4qoz_1_D_1-26,2a2e_1_A_1-338,6cih_1_A_548-621,,6ahu_1_A_5-337,3f2y_1_X_1-112,,,,6n5p_1_A_4-121,4frn_1_B_1-102,,,5nzd_1_A_1-41,5gag_1_1_9-105,2qus_1_A_5-60,,,4r0d_1_A_42-199,,,4dr6_1_A_20-55,5ddr_1_B_1-61,3oxb_1_B_1-88,5zwn_1_P_1-568,4xco_1_E_1-136,,4y1j_1_A_2-86,6d8o_1_A_1-237,4fax_1_A_88-260,4fax_1_A_258-327,6mcc_1_B_38-116,2z74_1_B_1-125,,,,,2qbz_1_X_2-159
3,4wt8_1_D4_1-73,3jam_1_2_1-1799,6prv_1_D_1-58,3a3a_1_A_1-86,3lwp_1_D_1-57,3ktv_1_C_2-106,4fep_1_B_1-67,,3j7o_1_8_3-3722,3j7o_1_8_2-154,3diy_1_A_4-173,6qw6_1_5_1-116,4io9_1_Y_5-121,6icz_1_F_1-107,6icz_1_F_1-188,2ipy_1_D_1-30,4znp_1_B_1-73,5aj4_1_AA_5-962,2czj_1_B_1-63,1yi2_1_0_1-2922,5it9_1_i_1-191,6rxu_1_C1_1-270,4ena_1_A_2-52,3d2g_1_A_3-77,4yb1_1_R_3-90,2a64_1_A_8-404,,3gx5_1_A_1-93,5lyu_1_B_2-58,4lvw_1_A_1-89,,,,,,5zwo_1_H_1-161,3skl_1_A_2-65,4l8r_1_D_1-26,3ok7_1_B_1-347,4r0d_1_A_548-621,,6ahr_1_A_5-337,3f2w_1_X_1-112,,,,6n5q_1_A_4-121,4frn_1_A_1-102,,,5nzd_1_B_1-41,3ndb_1_M_46-94,2qus_1_B_5-60,,,,,,4lf8_1_A_20-55,5ddr_1_A_1-61,3oxe_1_B_1-88,6n7x_1_R_1-568,1z43_1_A_1-136,,4y1j_1_B_2-86,6d8o_1_B_1-237,4far_1_A_84-256,4far_1_A_254-323,,2h0x_1_B_1-125,,,,,
4,4v9q_1_DV_1-74,3j80_1_2_1-1799,1hc8_1_C_1-58,4rqe_1_B_1-86,3lwo_1_D_1-57,3ktv_1_A_2-106,4fej_1_B_1-67,,3j7p_1_5_3-3664,3j7p_1_5_2-154,3diq_1_A_4-173,6qx9_1_5_1-116,5jvg_1_Y_5-121,5xjc_1_H_1-107,5xjc_1_H_1-188,,5btp_1_B_1-75,5zeb_1_a_5-1526,2czj_1_F_1-63,3ccu_1_0_1-2923,6d90_1_4_1-187,6rxu_1_C2_1-270,4en5_1_A_2-52,3d2x_1_B_3-77,3mur_1_R_3-90,,,3gx3_1_A_1-93,5lyu_1_A_2-58,4lvx_1_A_1-89,,,,,,5zwo_1_I_1-161,3skw_1_A_2-65,4hxh_1_A_1-26,,,,,3f2q_1_X_1-112,,,,6n5r_1_A_4-121,,,,5nwq_1_B_1-41,4xco_1_M_46-90,5dh6_1_A_1-48,,,,,,4lf7_1_A_20-55,,3oxd_1_A_1-88,5uz5_1_R_1-568,2v3c_1_N_1-136,,6cc3_1_A_2-86,1hr2_1_B_1-237,4e8n_1_A_87-259,4e8n_1_A_257-326,,2h0w_1_B_1-125,,,,,
5,4v9q_1_BV_1-74,3j81_1_2_1-1799,1hc8_1_D_1-58,4rqe_1_D_1-86,3lwq_1_D_1-57,6frk_1_1_1-299,4fe5_1_B_1-67,,3j7p_1_8_3-3722,3j7p_1_8_2-154,3dio_1_X_4-173,6qdv_1_5_1-116,5dm6_1_Y_4-120,5xjc_1_F_1-107,5xjc_1_F_1-188,,5btp_1_A_1-75,5zep_1_a_5-1526,2czj_1_D_1-63,3ccl_1_0_1-2923,2il9_1_A_2-142,5oql_1_1_1-270,,2cky_1_A_3-77,3muv_1_R_3-90,,,3iqr_1_A_1-93,5lyv_1_A_1-57,4lvy_1_A_1-89,,,,,,5zwo_1_F_1-161,3skr_1_A_2-65,4hxh_1_D_1-26,,,,,3f2t_1_X_1-112,,,,4qk8_1_A_4-121,,,,5o62_1_A_1-41,4xco_1_E_46-90,5di4_1_A_1-48,,,,,,4x65_1_A_20-55,,3oxd_1_B_1-88,6g90_1_1_1-407,2v3c_1_M_1-136,,4y1i_1_A_2-86,6bjx_1_A_1-237,4fau_1_A_92-264,4fau_1_A_262-331,,2gcs_1_B_1-125,,,,,
6,4v9q_1_DW_1-74,5it9_1_2_1-1780,1y39_1_C_1-58,4zdp_1_E_1-86,,5m73_1_A_1-144,2xnz_1_A_1-67,,3j7r_1_5_3-3722,3j7r_1_5_2-154,3dig_1_X_4-173,6icz_1_B_1-116,4ioc_1_Y_5-121,4n0t_1_B_1-70,3jb9_1_N_1-186,,,6dzi_1_h_1-1511,4v8q_1_BY_1-89,1yhq_1_0_1-2922,2il9_1_M_2-142,5oql_1_2_1-270,,3d2g_1_B_3-77,3ud4_1_R_3-90,,,3iqp_1_A_1-93,,4lw0_1_A_1-89,,,,,,5gap_1_V_1-67,3skr_1_B_2-65,4tuw_1_C_3-28,,,,,,,,,6n5t_1_A_4-121,,,,5nz3_1_A_1-41,1z43_1_A_50-94,5dqk_1_A_1-48,,,,,,5wnt_1_A_20-55,,3oxm_1_A_1-88,,1lng_1_B_1-136,,4y1i_1_B_2-86,6bjx_1_B_1-237,4fb0_1_A_87-259,4fb0_1_A_257-326,,3b4b_1_B_1-125,,,,,
7,4v9q_1_BW_1-74,4v92_1_A2_1-1767,1y39_1_D_1-58,4rqf_1_C_1-86,,5m73_1_E_1-144,2xnw_1_A_1-67,,3j7r_1_8_3-3722,3j7r_1_8_2-154,3dj2_1_A_4-173,6ff4_1_5_1-115,5jvh_1_Y_5-121,5tf6_1_B_1-70,3jb9_1_P_1-186,,,5o5j_1_A_5-1526,,1yij_1_0_1-2922,4v92_1_AZ_1-184,6rxv_1_C1_1-270,,2cky_1_B_3-77,3ud3_1_R_3-90,,,3gx7_1_A_1-93,,4lvv_1_A_1-89,,,,,,6qw6_1_4_1-141,3skw_1_B_2-65,4tuw_1_D_3-26,,,,,,,,,4qka_1_A_4-121,,,,5o69_1_A_1-41,2v3c_1_N_46-90,5eao_1_A_1-48,,,,,,4ji1_1_A_20-55,,3oxm_1_B_1-88,,,,6cc3_1_B_2-86,1hr2_1_A_1-237,4e8k_1_A_87-259,4e8k_1_A_257-326,,2ho6_1_B_1-125,,,,,
8,3j92_1_2_1-74,5xxu_1_2_1-1791,1qa6_1_C_1-58,3hl2_1_E_1-86,,3jan_1_4_1-206,3got_1_A_1-67,,5xy3_1_1_3-2756,5xy3_1_1_3-158,3diz_1_A_4-173,6id0_1_B_1-116,4u67_1_Y_5-121,5tf6_1_D_1-70,5zwo_1_H_5-116,,,5zeu_1_a_5-1526,,3cma_1_0_1-2923,,6rxv_1_C2_1-270,,3k0j_1_E_2-86,3mut_1_R_3-90,,,3iqn_1_A_1-93,,4lvz_1_A_1-89,,,,,,6qx9_1_4_1-141,3ski_1_A_3-66,4tv0_1_B_3-26,,,,,,,,,6n5k_1_A_4-121,,,,5ny8_1_B_1-41,2v3c_1_M_46-90,5dh7_1_A_1-48,,,,,,4x64_1_A_20-55,,3owi_1_A_1-88,,,,6cc1_1_B_2-86,6d8m_1_B_1-237,4e8q_1_A_87-259,4e8q_1_A_257-326,,2ho7_1_B_1-125,,,,,
9,4tue_1_QV_1-74,5wlc_1_L1_8-1807,1qa6_1_D_1-58,5lzd_1_y_1-91,,3jaj_1_4_1-206,2g9c_1_A_1-67,,5xy3_1_4_3-2756,5xy3_1_4_3-158,3dis_1_A_4-173,5xjc_1_B_1-116,3pio_1_Y_5-121,6aso_1_I_1-84,5zwo_1_I_5-116,,,6dzk_1_A_1-1511,,3ccv_1_0_1-2923,,,,3k0j_1_F_2-86,3irw_1_R_3-90,,,2gis_1_A_1-93,,6q57_1_A_1-89,,,,,,6ahd_1_I_1-141,3ski_1_B_3-66,4tux_1_D_3-26,,,,,,,,,6n5n_1_A_4-121,,,,5nz6_1_A_1-41,1lng_1_B_48-92,5di2_1_A_1-48,,,,,,4duy_1_A_20-55,,3owz_1_A_1-88,,,,6cc1_1_A_2-86,6d8m_1_A_1-237,4y1o_1_A_89-261,4y1o_1_A_253-331,,3b4a_1_B_1-125,,,,,
